name,address,lat,lon,thumbnail,type
Dům U Kamenného zvonu,"Staroměstské nám. 605/13, 110 00 Praha",50.087760660315325,14.421899914741516,https://fastly.4sqi.net/img/general/original/337966233_6PbRE-mqN5uL3JSFAO2TX_9ZPv-ocoDaaIoGpYkj1s8.jpg,galleries
Galerie Rudolfinum,"Alšovo nábřeží 12, 110 00 Praha",50.090215,14.415402,https://fastly.4sqi.net/img/general/original/53793447_Oao9gUndomDLrbMRn8FLXVW8v9Fz90320w7wpO7R8LU.jpg,galleries
Kampus Hybernská,"Hybernská 998/4, 110 00 Praha",50.08654,14.430007,https://fastly.4sqi.net/img/general/original/425914893_rVF3ycaR5Ti0hg-JJ_imBZhsSa3qXOUKcLCc9vDN-9U.jpg,galleries
Museum Kampa (Kampa),118 00 Praha,50.083923,14.408427,https://fastly.4sqi.net/img/general/original/127839327_vvZyPsUEYBWEWgTNaK4D4Xr5QK72Cip0hMVTSm2Kkko.jpg,galleries
National Gallery Prague | Wallenstein Riding School (Národní galerie Praha | Valdštejnská jízdárna),"Valdštejnská 17/3 (Valdštejnské nám. 17/4), 118 00 Praha",50.091075,14.408882,https://fastly.4sqi.net/img/general/original/437003926_PKn_8sCugpdNmgb4xGNBm3fJJZTrG2kQSvUdfKARSCA.jpg,galleries
Dům fotografie,"Revoluční 1006/5, 110 00 Praha 1",50.090013,14.427553,https://fastly.4sqi.net/img/general/original/187187125_HwHx-CG__9Bzadyc9mShoTa2VeW-eETBsur5TWylQ4w.jpg,galleries
Convent of St Agnes of Bohemia (Národní galerie Praha | Klášter sv. Anežky České),"U Milosrdných 17 (Anežská), 110 00 Praha",50.091958,14.423429,https://fastly.4sqi.net/img/general/original/53210151_CA75hxPdeb6h1eU7XxHiGmDztAa4-U99uI4f2LPdjqI.jpg,galleries
Galerie hlavního města Prahy,"Mariánské nám. 98/1 (2. patro), 110 00 Praha",50.087499,14.417362,https://fastly.4sqi.net/img/general/original/53793447_Mheg4q20BKymS5Fd_RozsT_xqTzR18ik3q9iPrcpudI.jpg,galleries
House at the Golden Ring (Dům U Zlatého prstenu),"Týnská 630/6, 110 00 Praha",50.088027,14.42304,https://fastly.4sqi.net/img/general/original/62743599_PTjHSq9gdCpene0xPvq4hKuyUZRCGp1HdOEpsHQ0UEE.jpg,galleries
National Gallery Prague | Trade Fair Palace (Národní galerie Praha | Veletržní palác),"Dukelských hrdinů 530/47 (Veletržní), 170 00 Praha",50.101332,14.432528,https://fastly.4sqi.net/img/general/original/406645540_pKju0fLuJc14j0rl1KBJ7zeJ13YLPe_Gdv7h_LGZovM.jpg,galleries
Gallery of Steel Figures (Galerie ocelových figurín),"Celetná 596/15, 110 00 Praha",50.083853,14.423489,https://fastly.4sqi.net/img/general/original/82665826_O-DpNwKXu9Pt3ebBOXec3HmSG4GVg4hV1zeCtpSwcvM.jpg,galleries
Schwarzenberg Palace (Národní galerie Praha | Schwarzenberský palác),"Hradčanské náměstí 185/2, 118 00 Praha",50.088986,14.396863,https://fastly.4sqi.net/img/general/original/53210151_4YL-ZcG_l47a6FIDzh0qB0rkSHcf5xblucUY9tnxnWs.jpg,galleries
DOX Centre for Contemporary Art (DOX Centrum současného umění),"Poupětova 1 (Osadní), 170 00 Praha",50.106841,14.447218,https://fastly.4sqi.net/img/general/original/5452342_CZonFkTWWy5STkuCvZh96BCTRyUd6us2Rc4tQqzNWBU.jpg,galleries
Dox Prague,"Poupětova 793/1, 170 00 Praha",50.106841,14.447218,https://fastly.4sqi.net/img/general/original/1191338_HwrCr0URrwORCuqCTujaVpzTEO5O66bXJoqNOn4ZYc8.jpg,galleries
Dancing House Gallery (Galerie Tančící dům),"Jiráskovo náměstí 6, 120 00 Praha",50.075477,14.414191,https://fastly.4sqi.net/img/general/original/523983688_ZJa2QGyD7FXgnP_uJVNNfThhbLYwu29GM5CpQqOMAIM.jpg,galleries
Trafo Gallery,"Bubenské nábřeží 306/13 (Hala 14), 170 00 Praha",50.098956,14.448065,https://fastly.4sqi.net/img/general/original/53793447_sBccj2mclTuIao5DFhicdhdMKaxVvwS2JQuX4Ukuk4s.jpg,galleries
Gallery of Art Prague,"Staromestske Namesti, 15 (Celetná), 110 00 Praha",50.08745,14.422106,https://fastly.4sqi.net/img/general/original/26728430_h-cwuD_g976Z4mcb6peXPgwEFwZXSSf4hSh7gzp9b4I.jpg,galleries
Dvorak Sec Contemporary,"Dlouhá 5, 110 00 Praha",50.089256,14.422028,https://fastly.4sqi.net/img/general/original/406645540_PW1-xOriJFXIXGc1B1MpYdhLRKijgKJb2hFlHOTxbiY.jpg,galleries
Czech Photo Centre,"Seydlerova 2835/4, 158 00 Praha",50.086927,14.420405,https://fastly.4sqi.net/img/general/original/2986290_S2QJmO_NdjkhcdBdkpTHkACix4e7kClwPnzN6HqlqGI.jpg,galleries
Kubista,"Ovocný trh 19, 110 00 Praha 1",50.087002,14.42545,https://fastly.4sqi.net/img/general/original/53793447_ReUX70zevN1ysh-f4cc9Hy22XJAWbP9IDEYocxbztSM.jpg,galleries
